categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto
Scarpe Sportive,38,uomo,PUMA,MORPHIC - Scarpe da corsa su strada - white silver team royal,"55,95","80,00",https://www.zalando.it/puma-morphic-sneakers-basse-white-silver-team-royal-pu115o0pg-a21.html?size=38
Scarpe Sportive,38,uomo,PUMA,ALL-PRO NITRO DYLAN EXHIBIT - Scarpe da basket - vivid blue tropical blue,"64,99","129,99",https://www.zalando.it/puma-all-pro-nitro-dylan-exhibit-scarpe-da-basket-vivid-blue-tropical-blue-pu142a1z4-k11.html?size=38
Scarpe Sportive,38,uomo,PUMA,DARTER PRO - Scarpe da corsa su strada - yellow alert black,"59,95","80,00",https://www.zalando.it/puma-darter-pro-scarpe-da-corsa-su-strada-yellow-alert-black-pu142a1y6-e11.html?size=38
Scarpe Sportive,38,uomo,UNDER ARMOUR,FAT TIRE VENTURE PRO UNISEX - Scarpe da allenamento - timberwolf taupe/federal tan/metallic silver,"97,99","139,99",https://www.zalando.it/under-armour-fat-tire-venture-pro-unisex-scarpe-da-allenamento-timberwolf-taupefederal-tanmetallic-silver-un244a02z-b11.html?size=38
Scarpe Sportive,38,uomo,NEW BALANCE,TWO WXY V5 UNISEX - Scarpe da basket - blue,"64,99","129,99",https://www.zalando.it/new-balance-two-scarpe-da-basket-blue-ne242a0ja-k13.html?size=38
Scarpe Sportive,38,uomo,PUMA,SCEND PRO 2 - Scarpe da corsa su strada - black-yellow alert-pure magenta,"52,95","70,00",https://www.zalando.it/puma-scend-pro-2-scarpe-da-corsa-su-strada-black-yellow-alert-pure-magenta-pu142a1y5-q11.html?size=38
Scarpe Sportive,38,uomo,PUMA,SCEND PRO 2 - Scarpe da corsa su strada - yellow alert/black,"52,95","70,00",https://www.zalando.it/puma-scend-pro-2-scarpe-da-corsa-su-strada-yellow-alertblack-pu142a1y5-e11.html?size=38
Scarpe Sportive,38,uomo,PUMA,SCEND PRO 2 - Scarpe da corsa su strada - black/flat dark gray,"52,95","70,00",https://www.zalando.it/puma-scend-pro-2-scarpe-da-corsa-su-strada-blackflat-dark-gray-pu142a1y5-q12.html?size=38
Scarpe Sportive,38,uomo,NEW BALANCE,TWO WXY V5 UNISEX - Scarpe da basket - purple,"70,99","129,99",https://www.zalando.it/new-balance-two-wxy-v5-unisex-scarpe-da-basket-purple-ne242a0ja-i12.html?size=38
Scarpe Sportive,38,uomo,UNDER ARMOUR,APPARITION - Scarpe da allenamento - hydro green,"96,99","129,99",https://www.zalando.it/under-armour-hovr-apparition-unisex-scarpe-da-allenamento-hydro-green-un244a02e-m11.html?size=38
Scarpe Sportive,38,uomo,PUMA,POUNCE LITE - Scarpe da trail running - gold black,"38,95","55,00",https://www.zalando.it/puma-scarpe-running-neutre-gold-black-pu144a0ck-q11.html?size=38
Scarpe Sportive,38,uomo,PUMA,MORPHIC - Scarpe da corsa su strada - white silver red,"55,95","80,00",https://www.zalando.it/puma-morphic-sneakers-basse-white-silver-red-pu115o0pg-a19.html?size=38
Scarpe Sportive,38,uomo,PUMA,SKYROCKET LITE - Scarpe da trail running - loden green black,"41,95","60,00",https://www.zalando.it/puma-skyrocket-lite-scarpe-da-trail-running-loden-green-black-pu142a1xo-m11.html?size=38
Scarpe Sportive,38,uomo,NEW BALANCE,KAWHI IV  - Scarpe da basket - black,"109,99","169,99",https://www.zalando.it/new-balance-kawhi-iv-scarpe-da-basket-black-ne242a0j9-a13.html?size=38
Scarpe Sportive,38,uomo,UNDER ARMOUR,APPARITION - Scarpe da allenamento - white/castlerock/ares red,"90,99","129,99",https://www.zalando.it/under-armour-hovr-apparition-unisex-scarpe-da-allenamento-whitecastlerockares-red-un244a02c-a12.html?size=38
Scarpe Sportive,38,uomo,NEW BALANCE,FRESH FOAM BB V2 - Scarpe da basket - beige,"76,99","139,99",https://www.zalando.it/new-balance-fresh-foam-bb-v2-scarpe-da-basket-beige-ne242a0o2-b11.html?size=38
Scarpe Sportive,38,uomo,NEW BALANCE,530 - Scarpe da corsa su strada - grey beige,"120,00","120,00",https://www.zalando.it/new-balance-sneakers-basse-grey-beige-ne242a0o4-c11.html?size=38
Scarpe Sportive,38,uomo,PUMA,SKYROCKET LITE - Scarpe da trail running - black/cool dark gray,"44,95","60,00",https://www.zalando.it/puma-skyrocket-lite-scarpe-da-trail-running-blackcool-dark-gray-pu142a1xo-q11.html?size=38
Scarpe Sportive,38,uomo,NEW BALANCE,TWO - Scarpe da basket - white,"77,99","129,99",https://www.zalando.it/new-balance-scarpe-da-basket-white-ne242a0om-a11.html?size=38
Scarpe Sportive,38,uomo,UNDER ARMOUR,APPARITION - Scarpe da allenamento - white,"96,99","129,99",https://www.zalando.it/under-armour-hovr-apparition-scarpe-da-allenamento-white-un241a0ej-a11.html?size=38
Scarpe Sportive,38,uomo,NEW BALANCE,KAWHI IV  - Scarpe da basket - purple,"109,99","169,99",https://www.zalando.it/new-balance-kawhi-iv-scarpe-da-basket-purple-ne242a0j9-i11.html?size=38
Scarpe Sportive,38,uomo,PUMA,PWR NITRO SQD2 - Scarpe da corsa su strada - mars red  white black,"72,95","130,00",https://www.zalando.it/puma-nitro-scarpe-running-neutre-mars-red-white-black-pu144a0c2-g11.html?size=38
Scarpe Sportive,38,uomo,NEW BALANCE,480 UNISEX - Scarpe da basket - prism purple,"69,99","99,99",https://www.zalando.it/new-balance-480-unisex-sneakers-basse-prism-purple-ne215o05f-c11.html?size=38
Scarpe Sportive,38,uomo,NEW BALANCE,HESI  - Scarpe da basket - black,"59,99","119,99",https://www.zalando.it/new-balance-hesi-scarpe-da-basket-black-ne242a0m8-q11.html?size=38
Scarpe Sportive,38,uomo,UNDER ARMOUR,APPARITION - Scarpe da allenamento - black/metallic black/castlerock,"129,99","129,99",https://www.zalando.it/under-armour-hovr-apparition-unisex-scarpe-da-allenamento-blackmetallic-blackcastlerock-un244a02c-q11.html?size=38
Scarpe Sportive,38,uomo,NEW BALANCE,480 UNISEX - Scarpe da basket - varsity gold,"54,99","99,99",https://www.zalando.it/new-balance-480-unisex-sneakers-basse-varsity-gold-ne215o05f-e11.html?size=38
Scarpe Sportive,38,uomo,PUMA,DARTER PRO - Scarpe da corsa su strada - black black cool dark gray,"59,95","80,00",https://www.zalando.it/puma-scarpe-da-allenamento-black-black-cool-dark-gray-zzo32y902-q11.html?size=38
Scarpe Sportive,38,uomo,ASICS,SNAPDOWN 4 WRESTLING SHOE UNISEX - Scarpe da allenamento - black/white,"89,99","89,99",https://www.zalando.it/asics-snapdown-4-wrestling-boxing-shoe-unisex-scarpe-da-allenamento-blackwhite-as144a02a-q11.html?size=38
Scarpe Sportive,38,uomo,UNDER ARMOUR,VISUAL CUSH FORGE UNISEX - Scarpe da corsa su strada - white,"90,97","130,00",https://www.zalando.it/under-armour-sneakers-basse-white-un244a02o-a11.html?size=38
